City_ID,City,Lat,Lng,Current Description,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
232,Te Anau,-45.42,167.72,light rain,52.86,88,100,3.13,NZ,2020-05-09 22:26:32,0,0
233,Butaritari,3.07,172.79,clear sky,83.12,81,0,11.25,KI,2020-05-09 22:26:33,0,0
234,Enkoping,59.64,17.08,broken clouds,42.01,75,58,5.82,SE,2020-05-09 22:26:33,0,0
235,Yarim,14.3,44.38,scattered clouds,58.05,62,50,4.0,YE,2020-05-09 22:26:33,0,0
236,Fairbanks,64.84,-147.72,clear sky,71.01,24,1,4.7,US,2020-05-09 22:26:33,0,0
237,Imeni Stepana Razina,54.89,44.3,overcast clouds,53.76,94,99,7.99,RU,2020-05-09 22:26:33,0,0
238,Zivinice,44.45,18.65,clear sky,56.97,72,7,3.71,BA,2020-05-09 22:26:33,0,0
239,Arcata,40.87,-124.08,scattered clouds,66.0,82,40,6.93,US,2020-05-09 22:26:33,0,0
240,Kostomuksha,64.57,30.58,overcast clouds,33.15,94,86,7.07,RU,2020-05-09 22:26:34,0,0
241,Mount Darwin,-16.77,31.58,clear sky,57.49,75,7,4.79,ZW,2020-05-09 22:26:34,0,0
242,Hasaki,35.73,140.83,light rain,68.0,88,75,8.05,JP,2020-05-09 22:25:02,0,0
243,Fortuna,40.6,-124.16,clear sky,63.0,82,1,13.87,US,2020-05-09 22:26:34,0,0
244,Kiruna,67.86,20.23,scattered clouds,26.6,63,42,4.7,SE,2020-05-09 22:26:34,0,0
